tour,year,type,rank,rider,nationality,team
Paris-Nice,2021,stage_1,1,Sam Bennett,IRL,Deceuninck–Quick-Step
Paris-Nice,2021,stage_1,2,Arnaud Démare,FRA,Groupama–FDJ
Paris-Nice,2021,stage_1,3,Mads Pedersen,DEN,Trek–Segafredo
Paris-Nice,2021,stage_1,4,Jasper Philipsen,BEL,Alpecin–Fenix
Paris-Nice,2021,stage_1,5,Bryan Coquard,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_1,6,Pascal Ackermann,GER,Bora–Hansgrohe
Paris-Nice,2021,stage_1,7,Phil Bauhaus,GER,Team Bahrain Victorious
Paris-Nice,2021,stage_1,8,Christophe Laporte,FRA,Cofidis
Paris-Nice,2021,stage_1,9,André Greipel,GER,Israel Start-Up Nation
Paris-Nice,2021,stage_1,10,Rudy Barbier,FRA,Israel Start-Up Nation
Paris-Nice,2021,stage_2,1,Cees Bol,NED,Team DSM
Paris-Nice,2021,stage_2,2,Mads Pedersen,DEN,Trek–Segafredo
Paris-Nice,2021,stage_2,3,Michael Matthews,AUS,Team BikeExchange
Paris-Nice,2021,stage_2,4,Bryan Coquard,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_2,5,Sam Bennett,IRL,Deceuninck–Quick-Step
Paris-Nice,2021,stage_2,6,John Degenkolb,GER,Lotto–Soudal
Paris-Nice,2021,stage_2,7,Pascal Ackermann,GER,Bora–Hansgrohe
Paris-Nice,2021,stage_2,8,Phil Bauhaus,GER,Team Bahrain Victorious
Paris-Nice,2021,stage_2,9,Jasper Philipsen,BEL,Alpecin–Fenix
Paris-Nice,2021,stage_2,10,Rudy Barbier,FRA,Israel Start-Up Nation
Paris-Nice,2021,stage_3,1,Stefan Bissegger,SUI,EF Education–Nippo
Paris-Nice,2021,stage_3,2,Rémi Cavagna,FRA,Deceuninck–Quick-Step
Paris-Nice,2021,stage_3,3,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2021,stage_3,4,Brandon McNulty,USA,UAE Team Emirates
Paris-Nice,2021,stage_3,5,Søren Kragh Andersen,DEN,Team DSM
Paris-Nice,2021,stage_3,6,Rohan Dennis,AUS,Ineos Grenadiers
Paris-Nice,2021,stage_3,7,Christophe Laporte,FRA,Cofidis
Paris-Nice,2021,stage_3,8,Dylan van Baarle,NED,Ineos Grenadiers
Paris-Nice,2021,stage_3,9,Yves Lampaert,BEL,Deceuninck–Quick-Step
Paris-Nice,2021,stage_3,10,Patrick Bevin,NZL,Israel Start-Up Nation
Paris-Nice,2021,stage_4,1,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2021,stage_4,2,Maximilian Schachmann,GER,Bora–Hansgrohe
Paris-Nice,2021,stage_4,3,Guillaume Martin,FRA,Cofidis
Paris-Nice,2021,stage_4,4,Tiesj Benoot,BEL,Team DSM
Paris-Nice,2021,stage_4,5,Aleksandr Vlasov,RUS,Astana–Premier Tech
Paris-Nice,2021,stage_4,6,Lucas Hamilton,AUS,Team BikeExchange
Paris-Nice,2021,stage_4,7,David Gaudu,FRA,Groupama–FDJ
Paris-Nice,2021,stage_4,8,Quentin Pacher,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_4,9,Pierre Latour,FRA,Total Direct Énergie
Paris-Nice,2021,stage_4,10,Ion Izagirre,ESP,Astana–Premier Tech
Paris-Nice,2021,stage_5,1,Sam Bennett,IRL,Deceuninck–Quick-Step
Paris-Nice,2021,stage_5,2,Nacer Bouhanni,FRA,Arkéa–Samsic
Paris-Nice,2021,stage_5,3,Pascal Ackermann,GER,Bora–Hansgrohe
Paris-Nice,2021,stage_5,4,Phil Bauhaus,GER,Team Bahrain Victorious
Paris-Nice,2021,stage_5,5,Giacomo Nizzolo,ITA,Team Qhubeka Assos
Paris-Nice,2021,stage_5,6,Alexander Kristoff,NOR,UAE Team Emirates
Paris-Nice,2021,stage_5,7,Bryan Coquard,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_5,8,Christophe Laporte,FRA,Cofidis
Paris-Nice,2021,stage_5,9,Rudy Barbier,FRA,Israel Start-Up Nation
Paris-Nice,2021,stage_5,10,Danny van Poppel,NED,Intermarché–Wanty–Gobert Matériaux
Paris-Nice,2021,stage_6,1,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2021,stage_6,2,Christophe Laporte,FRA,Cofidis
Paris-Nice,2021,stage_6,3,Michael Matthews,AUS,Team BikeExchange
Paris-Nice,2021,stage_6,4,Dylan Teuns,BEL,Team Bahrain Victorious
Paris-Nice,2021,stage_6,5,Aurélien Paret-Peintre,FRA,AG2R Citroën Team
Paris-Nice,2021,stage_6,6,Lucas Hamilton,AUS,Team BikeExchange
Paris-Nice,2021,stage_6,7,Bryan Coquard,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_6,8,Quentin Pacher,FRA,B&B Hotels p/b KTM
Paris-Nice,2021,stage_6,9,Sergio Henao,COL,Team Qhubeka Assos
Paris-Nice,2021,stage_6,10,Krists Neilands,LAT,Israel Start-Up Nation
Paris-Nice,2021,stage_7,1,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2021,stage_7,2,Gino Mäder,SUI,Team Bahrain Victorious
Paris-Nice,2021,stage_7,3,Maximilian Schachmann,GER,Bora–Hansgrohe
Paris-Nice,2021,stage_7,4,Lucas Hamilton,AUS,Team BikeExchange
Paris-Nice,2021,stage_7,5,Aleksandr Vlasov,RUS,Astana–Premier Tech
Paris-Nice,2021,stage_7,6,Tiesj Benoot,BEL,Team DSM
Paris-Nice,2021,stage_7,7,Guillaume Martin,FRA,Cofidis
Paris-Nice,2021,stage_7,8,Ion Izagirre,ESP,Astana–Premier Tech
Paris-Nice,2021,stage_7,9,Harm Vanhoucke,BEL,Lotto–Soudal
Paris-Nice,2021,stage_7,10,Jai Hindley,AUS,Team DSM
Paris-Nice,2022,stage_1,1,Christophe Laporte,FRA,Team Jumbo–Visma
Paris-Nice,2022,stage_1,2,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2022,stage_1,3,Wout van Aert,BEL,Team Jumbo–Visma
Paris-Nice,2022,stage_1,4,Pierre Latour,FRA,Team TotalEnergies
Paris-Nice,2022,stage_1,5,Mads Pedersen,DEN,Trek–Segafredo
Paris-Nice,2022,stage_1,6,Biniam Girmay,ERI,Intermarché–Wanty–Gobert Matériaux
Paris-Nice,2022,stage_1,7,Iván García Cortina,ESP,Movistar Team
Paris-Nice,2022,stage_1,8,Fred Wright,GBR,Team Bahrain Victorious
Paris-Nice,2022,stage_1,9,Jasper Philipsen,BEL,Alpecin–Fenix
Paris-Nice,2022,stage_1,10,Florian Sénéchal,FRA,Quick-Step Alpha Vinyl Team
Paris-Nice,2022,stage_2,1,Fabio Jakobsen,NED,Quick-Step Alpha Vinyl Team
Paris-Nice,2022,stage_2,2,Wout van Aert,BEL,Team Jumbo–Visma
Paris-Nice,2022,stage_2,3,Christophe Laporte,FRA,Team Jumbo–Visma
Paris-Nice,2022,stage_2,4,Luka Mezgec,SLO,Team BikeExchange–Jayco
Paris-Nice,2022,stage_2,5,Mads Pedersen,DEN,Trek–Segafredo
Paris-Nice,2022,stage_2,6,Jasper Stuyven,BEL,Trek–Segafredo
Paris-Nice,2022,stage_2,7,Luca Mozzato,ITA,B&B Hotels–KTM
Paris-Nice,2022,stage_2,8,Juan Sebastián Molano,COL,UAE Team Emirates
Paris-Nice,2022,stage_2,9,Oliver Naesen,BEL,AG2R Citroën Team
Paris-Nice,2022,stage_2,10,Cees Bol,NED,Team DSM
Paris-Nice,2022,stage_3,1,Mads Pedersen,DEN,Trek–Segafredo
Paris-Nice,2022,stage_3,2,Bryan Coquard,FRA,Cofidis
Paris-Nice,2022,stage_3,3,Wout van Aert,BEL,Team Jumbo–Visma
Paris-Nice,2022,stage_3,4,Jasper Philipsen,BEL,Alpecin–Fenix
Paris-Nice,2022,stage_3,5,Anthony Turgis,FRA,Team TotalEnergies
Paris-Nice,2022,stage_3,6,Biniam Girmay,ERI,Intermarché–Wanty–Gobert Matériaux
Paris-Nice,2022,stage_3,7,Fred Wright,GBR,Team Bahrain Victorious
Paris-Nice,2022,stage_3,8,Danny van Poppel,NED,Bora–Hansgrohe
Paris-Nice,2022,stage_3,9,Ethan Hayter,GBR,Ineos Grenadiers
Paris-Nice,2022,stage_3,10,Juan Sebastián Molano,COL,UAE Team Emirates
Paris-Nice,2022,stage_4,1,Wout van Aert,BEL,Team Jumbo–Visma
Paris-Nice,2022,stage_4,2,Primož Roglič,SLO,Team Jumbo–Visma
Paris-Nice,2022,stage_4,3,Rohan Dennis,AUS,Team Jumbo–Visma
