tour,year,type,rank,rider,nationality,team
Tirreno-Adriatico,2021,stage_1,1,Wout van Aert,BEL,Team Jumbo–Visma
Tirreno-Adriatico,2021,stage_1,2,Caleb Ewan,AUS,Lotto–Soudal
Tirreno-Adriatico,2021,stage_1,3,Fernando Gaviria,COL,UAE Team Emirates
Tirreno-Adriatico,2021,stage_1,4,Andrea Vendrame,ITA,AG2R Citroën Team
Tirreno-Adriatico,2021,stage_1,5,Luka Mezgec,SLO,Team BikeExchange
Tirreno-Adriatico,2021,stage_1,6,Tim Merlier,BEL,Alpecin–Fenix
Tirreno-Adriatico,2021,stage_1,7,Álvaro Hodeg,COL,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_1,8,Davide Ballerini,ITA,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_1,9,Iván García Cortina,ESP,Movistar Team
Tirreno-Adriatico,2021,stage_1,10,Hugo Hofstetter,FRA,Israel Start-Up Nation
Tirreno-Adriatico,2021,stage_2,1,Julian Alaphilippe,FRA,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_2,2,Mathieu van der Poel,NED,Alpecin–Fenix
Tirreno-Adriatico,2021,stage_2,3,Wout van Aert,BEL,Team Jumbo–Visma
Tirreno-Adriatico,2021,stage_2,4,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2021,stage_2,5,Alex Aranburu,ESP,Astana–Premier Tech
Tirreno-Adriatico,2021,stage_2,6,Robert Stannard,AUS,Team BikeExchange
Tirreno-Adriatico,2021,stage_2,7,João Almeida,POR,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_2,8,Greg Van Avermaet,BEL,AG2R Citroën Team
Tirreno-Adriatico,2021,stage_2,9,Tim Wellens,BEL,Lotto–Soudal
Tirreno-Adriatico,2021,stage_2,10,Giulio Ciccone,ITA,Trek–Segafredo
Tirreno-Adriatico,2021,stage_3,1,Mathieu van der Poel,NED,Alpecin–Fenix
Tirreno-Adriatico,2021,stage_3,2,Wout van Aert,BEL,Team Jumbo–Visma
Tirreno-Adriatico,2021,stage_3,3,Davide Ballerini,ITA,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_3,4,Sergio Higuita,COL,EF Education–Nippo
Tirreno-Adriatico,2021,stage_3,5,Greg Van Avermaet,BEL,AG2R Citroën Team
Tirreno-Adriatico,2021,stage_3,6,Jasper De Buyst,BEL,Lotto–Soudal
Tirreno-Adriatico,2021,stage_3,7,Iván García Cortina,ESP,Movistar Team
Tirreno-Adriatico,2021,stage_3,8,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2021,stage_3,9,Gonzalo Serrano,ESP,Movistar Team
