tour,year,type,rank,rider,nationality,team
Tour de Suisse,2021,stage_1,1,K├╝ng Stefan,SUI,Groupama-FDJ
Tour de Suisse,2021,stage_1,2,Bissegger Stefan,SUI,EF Education-NIPPO
Tour de Suisse,2021,stage_1,3,Cattaneo Mattia,ITA,Deceuninck-Quick Step
Tour de Suisse,2021,stage_1,4,Scully Thomas,NZL,EF Education-NIPPO
Tour de Suisse,2021,stage_1,5,Alaphilippe Julian,FRA,Deceuninck-Quick Step
Tour de Suisse,2021,stage_1,6,Rutsch Jonas,GER,EF Education-NIPPO
Tour de Suisse,2021,stage_1,7,Steimle Jannik,GER,Deceuninck-Quick Step
Tour de Suisse,2021,stage_1,8,Vermeersch Florian,BEL,Lotto-Soudal
Tour de Suisse,2021,stage_1,9,Kragh Andersen S├╕ren,DEN,Team DSM
Tour de Suisse,2021,stage_1,10,Dennis Rohan,AUS,INEOS Grenadiers
Tour de Suisse,2021,stage_2,1,van der Poel Mathieu,NED,Alpecin-Fenix
Tour de Suisse,2021,stage_2,2,Schachmann Max,GER,BORA-hansgrohe
Tour de Suisse,2021,stage_2,3,Poels Wout,NED,Bahrain Victorious
Tour de Suisse,2021,stage_2,4,Garc├¡a Cortina Iv├ín,ESP,Movistar Team
Tour de Suisse,2021,stage_2,5,Hirschi Marc,SUI,UAE Team Emirates
Tour de Suisse,2021,stage_2,6,Carapaz Richard,ECU,INEOS Grenadiers
Tour de Suisse,2021,stage_2,7,Woods Michael,CAN,Israel Start-Up Nation
Tour de Suisse,2021,stage_2,8,Alaphilippe Julian,FRA,Deceuninck-Quick Step
Tour de Suisse,2021,stage_2,9,Fuglsang Jakob,DEN,Astana-Premier Tech
Tour de Suisse,2021,stage_2,10,Kron Andreas,DEN,Lotto-Soudal
Tour de Suisse,2021,stage_3,1,van der Poel Mathieu,NED,Alpecin-Fenix
Tour de Suisse,2021,stage_3,2,Laporte Christophe,FRA,Cofidis
Tour de Suisse,2021,stage_3,3,Alaphilippe Julian,FRA,Deceuninck-Quick Step
Tour de Suisse,2021,stage_3,4,Matthews Michael,AUS,Team BikeExchange
Tour de Suisse,2021,stage_3,5,Schachmann Max,GER,BORA-hansgrohe
Tour de Suisse,2021,stage_3,6,Kamp Alexander,DEN,Trek-Segafredo
Tour de Suisse,2021,stage_3,7,Benoot Tiesj,BEL,Team DSM
Tour de Suisse,2021,stage_3,8,Fraile Omar,ESP,Astana-Premier Tech
Tour de Suisse,2021,stage_3,9,Turgis Anthony,FRA,Team TotalEnergies
Tour de Suisse,2021,stage_3,10,Woods Michael,CAN,Israel Start-Up Nation
Tour de Suisse,2021,stage_4,1,Bissegger Stefan,SUI,EF Education-NIPPO
Tour de Suisse,2021,stage_4,2,Thomas Benjamin,FRA,Groupama-FDJ
Tour de Suisse,2021,stage_4,3,Rosskopf Joey,USA,Rally Cycling
Tour de Suisse,2021,stage_4,4,Suter Joel,SUI,Switzerland
Tour de Suisse,2021,stage_4,5,Theuns Edward,BEL,Trek-Segafredo
Tour de Suisse,2021,stage_4,6,Molano Sebastian,COL,UAE Team Emirates
Tour de Suisse,2021,stage_4,7,Fraile Omar,ESP,Astana-Premier Tech
Tour de Suisse,2021,stage_4,8,Teunissen Mike,NED,Jumbo-Visma
Tour de Suisse,2021,stage_4,9,Wright Fred,GBR,Bahrain Victorious
Tour de Suisse,2021,stage_4,10,Matthews Michael,AUS,Team BikeExchange
Tour de Suisse,2021,stage_5,1,Carapaz Richard,ECU,INEOS Grenadiers
Tour de Suisse,2021,stage_5,2,Fuglsang Jakob,DEN,Astana-Premier Tech
Tour de Suisse,2021,stage_5,3,Woods Michael,CAN,Israel Start-Up Nation
Tour de Suisse,2021,stage_5,4,Hamilton Lucas,AUS,Team BikeExchange
Tour de Suisse,2021,stage_5,5,Uran Rigoberto,COL,EF Education-NIPPO
